Date,Observation,GDP,RLGDP,Population,MF,FIRREA,TRA86,TRA97,FHFA,PH,Pop,MORTGAGE30US,SF,All,GDP_NSA,RES_GDP_DEF,TOT_GDP_DEF,RES_GDP_NSA,RLGDP_NSA,del_RLGDPNSA,del_RLGDPNSAyoy,delPop,hhs,SFshare,SFsharepc,SFcomShare,SFcomSharepc,SFcomlagShare,SFcomlagSharepc,AllComp,SFComp,AllCompLag,SFCompLag,Mileage,CarPP
10/1/1965,28,771.9,4301.973,195278.7,125.3,0,0,0,0,0,195.2787,,219.4,344.7,199483,13.106,17.945,9104,1111.635553,70.997231,86.186383,632,3.31,0.636495503,63.64955033,,,,,,,,,,
1/1/1966,29,795.7,4406.693,195763,93.5,0,0,0,0,0,195.763,,180.2,273.7,191022,12.927,18.054,6733,1058.059156,-53.576397,76.1061416,484.3,3.3,0.658385093,65.83850932,,,,,,,,,,
4/1/1966,30,805,4421.747,196276.7,132.7,0,0,0,0,0,196.2767,,258.8,391.5,201635,13.396,18.218,8538,1106.789988,48.730832,71.020562,513.7,3.3,0.661047254,66.10472542,,,,,,,,,,
7/1/1966,31,819.6,4459.195,196876.7,92.2,0,0,0,0,0,196.8767,,197.9,290.1,203439,13.315,18.378,9531,1106.970291,0.180303,66.331969,600,3.3,0.682178559,68.21785591,,,,,,,,,,
10/1/1966,32,833.3,4495.777,197480.7,67.9,0,0,0,0,0,197.4807,,141.7,209.6,217316,13.608,18.528,8577,1172.905872,65.935581,61.270319,604,3.3,0.676049618,67.60496183,,,,,,,,,,
1/1/1967,33,844.2,4535.591,197967,64.9,0,0,0,0,0,197.967,,147.1,212,204098,13.637,18.605,5932,1097.006181,-75.899691,38.947025,486.3,3.28,0.693867925,69.38679245,,,,,,,,,,
4/1/1967,34,849,4538.37,198455.3,116.4,0,0,0,0,0,198.4553,,254.7,371.1,213246,13.679,18.717,8156,1139.317198,42.311017,32.52721,488.3,3.28,0.686337914,68.63379143,,,0.651634724,65.16347238,,,266.1,173.4,,
7/1/1967,35,865.2,4581.309,199012,130.4,0,0,0,0,0,199.012,,244.2,374.6,214456,13.756,18.885,9613,1135.589092,-3.728106,28.618801,556.7,3.28,0.651895355,65.1895355,,,0.659962288,65.99622879,,,318.2,210,,
10/1/1967,36,881.4,4615.853,199572,136.1,0,0,0,0,0,199.572,,197.8,333.9,228140,14.008,19.094,9926,1194.8256,59.236508,21.919728,560,3.28,0.592392932,59.2392932,,,0.649340156,64.93401562,,,371.3,241.1,,
1/1/1968,37,909.4,4709.993,199994.7,111.8,0,0,0,0,0,199.9947,,179.9,291.7,218405,14.258,19.302,7239,1131.514869,-63.310731,34.508688,422.7,3.23,0.616729517,61.67295166,0.651634724,65.16347238,0.642778693,64.2778693,266.1,173.4,364.2,234.1,,
4/1/1968,38,934.3,4788.688,200451.7,174.6,0,0,0,0,0,200.4517,,266.2,440.8,234781,14.385,19.519,10238,1202.833137,71.318268,63.515939,457,3.23,0.603901996,60.39019964,0.659962288,65.99622879,0.593259927,59.32599266,318.2,210,299.7,177.8,,
